# ID  name  B  Berr  V  Verr  R  Rerr  I  Ierr  psfMag_u  psfMagErr_u  psfMag_g  psfMagErr_g  psfMag_r  psfMagErr_r  psfMag_i  psfMagErr_i  psfMag_z  psfMagErr_z  good_u  good_g  good_r  good_i  good_z
1-752-40-3-610-212  L107-S240  17.648  0  16.906  0  16.475  0  16.001  0  18.561  0.022  17.225  0.013  16.656  0.015  16.444  0.012  16.346  0.02  1  1  1  1  1
1-752-40-3-610-218  L107-S248  18.385  0  17.663  0  17.226  0  16.764  0  19.349  0.028  17.971  0.013  17.417  0.015  17.183  0.012  17.081  0.022  1  1  1  1  1
1-752-40-3-610-220  L107-S250  17.236  0  16.344  0  15.783  0  15.239  0  18.504  0.022  16.772  0.013  16.024  0.015  15.714  0.012  15.531  0.02  1  1  1  1  1
1-752-40-3-610-223  L107-S252  17.413  0  16.726  0  16.333  0  15.885  0  18.253  0.021  17.006  0.013  16.496  0.015  16.316  0.012  16.213  0.02  1  1  1  1  1
1-752-40-3-610-225  L107-S256  19.007  0  18.338  0  17.948  0  17.49  0  19.982  0.038  18.601  0.014  18.123  0.015  17.9  0.013  17.783  0.025  1  1  1  0  1
1-752-40-3-610-229  L107-S261  17.194  0  16.538  0  16.136  0  15.66  0  18.059  0.021  16.811  0.013  16.326  0.015  16.113  0.012  15.992  0.02  1  1  1  1  1
1-752-40-3-610-231  L107-S262  18.13  0  17.285  0  16.795  0  16.302  0  19.345  0.028  17.667  0.013  17.004  0.015  16.751  0.012  16.61  0.021  1  1  1  1  1
1-752-40-3-610-233  L107-S263  18.542  0  17.635  0  17.063  0  16.525  0  19.924  0.037  18.086  0.014  17.311  0.015  16.985  0.012  16.802  0.021  1  1  1  1  1
1-752-40-3-610-235  L107-S266  15.551  0  14.786  0  14.339  0  13.907  0  16.692  0.018  15.137  0.013  14.557  0.015  14.337  0.011  14.251  0.019  1  1  1  1  1
1-752-40-3-610-237  L107-S267  16.829  0  16.09  0  15.662  0  15.209  0  17.788  0.02  16.418  0.013  15.868  0.015  15.641  0.012  15.552  0.02  1  1  1  1  1
1-752-40-3-610-259  L107-S39  18.247  0  17.087  0  16.349  0  15.718  0  20.114  0.04  17.703  0.013  16.616  0.015  16.209  0.012  15.964  0.02  1  1  1  1  1
